 Cu Density=8.96, Angle=90.deg
 Photon Energy (eV)  Atten Length (microns)
   30.0000  1.045196E-02
   30.4051  1.043100E-02
   30.8156  1.041082E-02
   31.2317  1.039413E-02
   31.6534  1.054456E-02
   32.0808  1.070154E-02
   32.5140  1.086084E-02
   32.9530  1.102433E-02
   33.3979  1.121347E-02
   33.8489  1.149417E-02
   34.3059  1.178193E-02
   34.7691  1.207686E-02
   35.2386  1.237916E-02
   35.7144  1.268905E-02
   36.1966  1.300670E-02
   36.6853  1.333092E-02
   37.1807  1.354723E-02
   37.6827  1.369076E-02
   38.1915  1.381848E-02
   38.7072  1.394738E-02
   39.2298  1.407746E-02
   39.7595  1.420878E-02
   40.2964  1.434130E-02
   40.8404  1.447508E-02
   41.3919  1.454659E-02
   41.9508  1.456573E-02
   42.5172  1.456392E-02
   43.0913  1.456213E-02
   43.6731  1.456033E-02
   44.2628  1.455853E-02
   44.8605  1.455673E-02
   45.4662  1.455494E-02
   46.0801  1.455317E-02
   46.7023  1.455285E-02
   47.3329  1.457353E-02
   47.9720  1.460801E-02
   48.6197  1.464462E-02
   49.2762  1.468134E-02
   49.9415  1.471816E-02
   50.6158  1.475507E-02
   51.2993  1.479204E-02
   51.9919  1.482911E-02
   52.6940  1.486626E-02
   53.4054  1.490201E-02
   54.1265  1.493516E-02
   54.8574  1.496564E-02
   55.5981  1.499619E-02
   56.3488  1.502678E-02
   57.1096  1.505746E-02
   57.8807  1.508819E-02
   58.6623  1.511898E-02
   59.4543  1.514990E-02
   60.2571  1.518147E-02
   61.0707  1.522835E-02
   61.8953  1.527659E-02
   62.7310  1.532499E-02
   63.5781  1.537356E-02
   64.4365  1.542226E-02
   65.3066  1.547113E-02
   66.1883  1.552015E-02
   67.0820  1.556933E-02
   67.9878  1.561867E-02
   68.9058  1.568353E-02
   69.8362  1.577741E-02
   70.7791  1.587604E-02
   71.7348  1.597529E-02
   72.7034  1.607515E-02
   73.6851  1.617564E-02
   74.6800  1.627676E-02
   75.6883  1.637851E-02
   76.7103  1.648090E-02
   77.7461  1.658032E-02
   78.7958  1.667389E-02
   79.8598  1.676623E-02
   80.9380  1.685909E-02
   82.0309  1.695247E-02
   83.1385  1.704636E-02
   84.2611  1.714078E-02
   85.3988  1.721483E-02
   86.5519  1.727407E-02
   87.7205  1.732703E-02
   88.9050  1.738013E-02
   90.1054  1.743341E-02
   91.3220  1.748687E-02
   92.5551  1.754048E-02
   93.8048  1.759426E-02
   95.0714  1.764212E-02
   96.3551  1.768119E-02
   97.6561  1.771749E-02
   98.9747  1.775389E-02
   100.311  1.779034E-02
   101.665  1.782685E-02
   103.038  1.786346E-02
   104.429  1.790018E-02
   105.840  1.793730E-02
   107.269  1.798133E-02
   108.717  1.803511E-02
   110.185  1.809067E-02
   111.673  1.814643E-02
   113.180  1.820237E-02
   114.709  1.825848E-02
   116.258  1.831469E-02
   117.827  1.837117E-02
   119.418  1.842773E-02
   121.031  1.848596E-02
   122.665  1.856471E-02
   124.321  1.869005E-02
   126.000  1.881619E-02
   127.701  1.894313E-02
   129.425  1.907099E-02
   131.173  1.919970E-02
   132.944  1.932929E-02
   134.739  1.945983E-02
   136.558  1.959108E-02
   138.402  1.972326E-02
   140.271  1.985642E-02
   142.165  1.999049E-02
   144.084  2.012873E-02
   146.030  2.029108E-02
   148.002  2.056563E-02
   150.000  2.084402E-02
