 Pb Density=11.35, Angle=90.deg
 Photon Energy (eV)  Atten Length (microns)
   30.0000  2.194036E-02
   30.4051  2.149478E-02
   30.8156  2.105824E-02
   31.2317  2.063042E-02
   31.6534  2.021150E-02
   32.0808  1.980093E-02
   32.5140  1.939872E-02
   32.9530  1.900477E-02
   33.3979  1.861556E-02
   33.8489  1.822058E-02
   34.3059  1.783198E-02
   34.7691  1.745171E-02
   35.2386  1.707955E-02
   35.7144  1.671531E-02
   36.1966  1.635882E-02
   36.6853  1.600996E-02
   37.1807  1.566856E-02
   37.6827  1.533441E-02
   38.1915  1.504547E-02
   38.7072  1.478692E-02
   39.2298  1.453544E-02
   39.7595  1.428831E-02
   40.2964  1.404542E-02
   40.8404  1.380663E-02
   41.3919  1.357187E-02
   41.9508  1.334112E-02
   42.5172  1.313039E-02
   43.0913  1.297296E-02
   43.6731  1.283976E-02
   44.2628  1.270790E-02
   44.8605  1.257741E-02
   45.4662  1.244827E-02
   46.0801  1.232044E-02
   46.7023  1.219623E-02
   47.3329  1.210554E-02
   47.9720  1.204780E-02
   48.6197  1.199512E-02
   49.2762  1.194266E-02
   49.9415  1.189043E-02
   50.6158  1.183844E-02
   51.2993  1.178665E-02
   51.9919  1.173507E-02
   52.6940  1.168371E-02
   53.4054  1.163259E-02
   54.1265  1.160137E-02
   54.8574  1.161629E-02
   55.5981  1.163414E-02
   56.3488  1.165201E-02
   57.1096  1.166993E-02
   57.8807  1.168786E-02
   58.6623  1.170580E-02
   59.4543  1.172379E-02
   60.2571  1.174183E-02
   61.0707  1.182479E-02
   61.8953  1.193091E-02
   62.7310  1.204444E-02
   63.5781  1.215904E-02
   64.4365  1.227472E-02
   65.3066  1.239156E-02
   66.1883  1.256923E-02
   67.0820  1.278205E-02
   67.9878  1.300838E-02
   68.9058  1.323870E-02
   69.8362  1.347315E-02
   70.7791  1.371168E-02
   71.7348  1.395260E-02
   72.7034  1.419706E-02
   73.6851  1.444559E-02
   74.6800  1.469844E-02
   75.6883  1.495570E-02
   76.7103  1.521747E-02
   77.7461  1.548387E-02
   78.7958  1.575493E-02
   79.8598  1.611508E-02
   80.9380  1.655274E-02
   82.0309  1.701636E-02
   83.1385  1.749295E-02
   84.2611  1.798291E-02
   85.3988  1.848658E-02
   86.5519  1.900432E-02
   87.7205  1.953658E-02
   88.9050  2.008784E-02
   90.1054  2.067422E-02
   91.3220  2.151048E-02
   92.5551  2.238060E-02
   93.8048  2.328587E-02
   95.0714  2.422776E-02
   96.3551  2.520776E-02
   97.6561  2.623041E-02
   98.9747  2.737660E-02
   100.311  2.869436E-02
   101.665  3.009980E-02
   103.038  3.157392E-02
   104.429  3.312009E-02
   105.840  3.474233E-02
   107.269  3.644332E-02
   108.717  3.856353E-02
   110.185  4.111968E-02
   111.673  4.398318E-02
   113.180  4.704564E-02
   114.709  5.031284E-02
   116.258  5.369579E-02
   117.827  5.658164E-02
   119.418  5.951688E-02
   121.031  6.260415E-02
   122.665  6.585164E-02
   124.321  6.926787E-02
   126.000  7.286023E-02
   127.701  7.657421E-02
   129.425  7.955812E-02
   131.173  8.225638E-02
   132.944  8.504625E-02
   134.739  8.793147E-02
   136.558  9.091415E-02
   138.402  9.399819E-02
   140.271  9.718667E-02
   142.165  0.100483
   144.084  0.104271
   146.030  0.109061
   148.002  0.114337
   150.000  0.119868
